"Change Billing Address","Change Billing Address"
"Change Password","Change Password"
"Change Shipping Address","Change Shipping Address"
"City","City"
"Company","Company"
"Config","Config"
"Configure","Configure"
"Confirm New Password","Confirm New Password"
"Confirm Password","Confirm Password"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Contact Information"
"Continue Shopping","Continue Shopping"
"Country","Country"
"Create","Create"
"Create New Account Options","Create New Account Options"
"Create New User Account","Create New User Account"
"Create Order","Create Order"
"Create an Account","Create an Account"
"Create user","Create user"
"Create user address","Create user address"
"Current Password","Current Password"
"User","User"
"User API","User API"
"User Account Edit Form","User Account Edit Form"
"User Account Login Form","User Account Login Form"
"User Account Logout Success","User Account Logout Success"
"User Account Registration Form","User Account Registration Form"
"User Addresses","User Addresses"
"User Configuration","User Configuration"
"User Forgot Password Form","User Forgot Password Form"
"User Group","User Group"
"User Groups","User Groups"
"User Information","User Information"
"User Login","User Login"
"User My Account (All Pages)","User My Account (All Pages)"
"User My Account Address Book","User My Account Address Book"
"User My Account Address Edit Form","User My Account Address Edit Form"
"User My Account Dashboard","User My Account Dashboard"
"User Since","User Since"
"User View","User View"
"User collection expected.","User collection expected."
"User email is required","User email is required"
"User website ID must be specified when using the website scope","User website ID must be specified when using the website scope"
"User will stay on the current page if ""No"" is selected.","User will stay on the current page if ""No"" is selected."
"Users","Users"
"Users Only","Users Only"
"Users Section","Users Section"
"DD","DD"
"Date","Date"
"Date Added","Date Added"
"Date of Birth","Date of Birth"
"Day","Day"
"Days in Wishlist","Days in Wishlist"
"Default Addresses","Default Addresses"
"Default Billing Address","Default Billing Address"
"Default Email Domain","Default Email Domain"
"Default Group","Default Group"
"Default Shipping Address","Default Shipping Address"
"Default Welcome Email","Default Welcome Email"
"Delete","Delete"
"Delete Address","Delete Address"
"Delete User","Delete User"
"Delete User Group","Delete User Group"
"Delete user","Delete user"
"Delete user address","Delete user address"
"Deleted Stores","Deleted Stores"
"Details","Details"
"Disabled","Disabled"
"Edit","Edit"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Edit Account Information"
"Edit Address","Edit Address"
"Edit Address Entry","Edit Address Entry"
"Edit User Group ""%s""","Edit User Group ""%s"""
"Edit User Groups","Edit User Groups"
"Edit User's Address","Edit User's Address"
"Edit Group","Edit Group"
"Edit Newsletters","Edit Newsletters"
"Email","Email"
"Email Address","Email Address"
"Email Sender","Email Sender"
"Email:","Email:"
"Entity collection is expected.","Entity collection is expected."
"Entity instance is not defined","Entity instance is not defined"
"Entity object is undefined","Entity object is undefined"
"Excel XML","Excel XML"
"Failed to confirm user account.","Failed to confirm user account."
"Fax","Fax"
"First Name","First Name"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"Forgot Your Password?","Forgot Your Password?"
"Form Fields Before","Form Fields Before"
"Form code is not defined","Form code is not defined"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Gender","Gender"
"General Subscription","General Subscription"
"Generate Human-Friendly User ID","Generate Human-Friendly User ID"
"Global","Global"
"Grand Total","Grand Total"
"Group","Group"
"Group Information","Group Information"
"Group Name","Group Name"
"Guest","Guest"
"HTML","HTML"
"Hello, %s!","Hello, %s!"
"ID","ID"
"IP Address","IP Address"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid current password","Invalid current password"
"Invalid user data","Invalid user data"
"Invalid email address.","Invalid email address."
"Invalid login or password.","Invalid login or password."
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid type given. String expected","Invalid type given. String expected"
"Last Activity","Last Activity"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"Last Name","Last Name"
"Last URL","Last URL"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Lifetime Sales"
"Log In","Log In"
"Log Out","Log Out"
"Login","Login"
"Login Information","Login Information"
"Login Options","Login Options"
"Login and password are required.","Login and password are required."
"Login or Create an Account","Login or Create an Account"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Manage Addresses"
"Manage Users","Manage Users"
"Missing email, skipping the record.","Missing email, skipping the record."
"Missing firstname, skipping the record.","Missing firstname, skipping the record."
"Missing lastname, skipping the record.","Missing lastname, skipping the record."
"Month","Month"
"My Account","My Account"
"My Account Wrapper","My Account Wrapper"
"My Dashboard","My Dashboard"
"My Orders","My Orders"
"Name","Name"
"Name and Address Options","Name and Address Options"
"Never","Never"
"New Address","New Address"
"New Address Entry","New Address Entry"
"New User","New User"
"New User Address","New User Address"
"New User Group","New User Group"
"New User Groups","New User Groups"
"New Users","New Users"
"New Group","New Group"
"New Password","New Password"
"New account","New account"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"New password field cannot be empty.","New password field cannot be empty."
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Finish"
"Newsletter Information","Newsletter Information"
"Newsletter Received","Newsletter Received"
"Newsletter Start","Newsletter Start"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","Newsletters"
"No","No"
"No Items Found","No Items Found"
"No Newsletter Found","No Newsletter Found"
"No user collections found","No user collections found"
"No item specified.","No item specified."
"Not Sent","Not Sent"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of Lines in a Street Address ","Number of Lines in a Street Address "
"Offline","Offline"
"Online","Online"
"Online Users","Online Users"
"Online Users Options","Online Users Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Order #"
"Order Total","Order Total"
"Orders","Orders"
"PDF","PDF"
"Password","Password"
"Password Management","Password Management"
"Password Options","Password Options"
"Password forgotten","Password forgotten"
"Password:","Password:"
"Paused","Paused"
"Pending","Pending"
"Per Website","Per Website"
"Personal Information","Personal Information"
"Please enter your email below and we will send you a new password.","Please enter your email below and we will send you a new password."
"Please enter your email below and we\'ll send you confirmation link for it.","Please enter your email below and we\'ll send you confirmation link for it."
"Please enter your email.","Please enter your email."
"Please select","Please select"
"Please select region, state or province","Please select region, state or province"
"Please, check your email for confirmation key.","Please, check your email for confirmation key."
"Prefix","Prefix"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Price","Price"
"Product","Product"
"Product ID","Product ID"
"Product Name","Product Name"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Purchase On","Purchase On"
"Purchased At","Purchased At"
"Qty","Qty"
"Recent Orders","Recent Orders"
"Records for %s store found.","Records for %s store found."
"Redirect User to Account Dashboard after Logging in","Redirect User to Account Dashboard after Logging in"
"Refunded","Refunded"
"Registered Users","Registered Users"
"Remove","Remove"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve user addresses","Retrieve user addresses"
"Retrieve user data","Retrieve user data"
"Retrieve user groups","Retrieve user groups"
"Retrieve user info","Retrieve user info"
"Retrieve users","Retrieve users"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Retrieve your password here"
"SKU","SKU"
"Sales Statistics","Sales Statistics"
"Save","Save"
"Save Address","Save Address"
"Save User","Save User"
"Save User Group","Save User Group"
"Save Password","Save Password"
"Save and Continue Edit","Save and Continue Edit"
"Saved %d record(s)","Saved %d record(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send From","Send From"
"Send Welcome Email","Send Welcome Email"
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Send auto-generated password"
"Send confirmation link","Send confirmation link"
"Sending","Sending"
"Sent","Sent"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","Set as Default Billing Address"
"Set as Default Shipping Address","Set as Default Shipping Address"
"Share User Accounts","Share User Accounts"
"Shipped to First Name","Shipped to First Name"
"Shipped to Last Name","Shipped to Last Name"
"Shipped to Name","Shipped to Name"
"Shopping Cart","Shopping Cart"
"Shopping Cart - %d item(s)","Shopping Cart - %d item(s)"
"Show Date of Birth","Show Date of Birth"
"Show Gender","Show Gender"
"Show Middle Name (initial)","Show Middle Name (initial)"
"Show Prefix","Show Prefix"
"Show Suffix","Show Suffix"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, website ""%s"" field does not exist.","Skipping import row, website ""%s"" field does not exist."
"State/Province","State/Province"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Street Address","Street Address"
"Street Address ","Street Address "
"Street Address %s","Street Address %s"
"Subject","Subject"
"Submit","Submit"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Subscribed to Newsletter?","Subscribed to Newsletter?"
"Suffix","Suffix"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Tag Name","Tag Name"
"Tax Class","Tax Class"
"Tax/VAT number","Tax/VAT number"
"Telephone","Telephone"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s.","Thank you for registering with %s."
"The account information has been saved.","The account information has been saved."
"The address does not belong to this user.","The address does not belong to this user."
"The address has been deleted.","The address has been deleted."
"The address has been saved.","The address has been saved."
"The user does not have default billing address.","The user does not have default billing address."
"The user group has been deleted.","The user group has been deleted."
"The user group has been saved.","The user group has been saved."
"The group ""%s"" cannot be deleted","The group ""%s"" cannot be deleted"
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","The password must have at least 6 characters. Leading or trailing spaces will be ignored."
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in user's wishlist at the moment","There are no items in user's wishlist at the moment"
"There are no items in user\'s shopping cart at the moment","There are no items in user\'s shopping cart at the moment"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account."
"This account is not confirmed.","This account is not confirmed."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email."
"This user email already exists","This user email already exists"
"This user has no saved addresses.","This user has no saved addresses."
"This email address was not found in our records.","This email address was not found in our records."
"This email does not require confirmation.","This email does not require confirmation."
"This email will be sent instead of default welcome email, after account confirmation.","This email will be sent instead of default welcome email, after account confirmation."
"This is My Default %s Address","This is My Default %s Address"
"To Cart","To Cart"
"Total","Total"
"Type","Type"
"Unknown","Unknown"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"Update","Update"
"Update user address data","Update user address data"
"Update user data","Update user data"
"Use as My Default %s Address","Use as My Default %s Address"
"Use as My Default Billing Address","Use as My Default Billing Address"
"Use as My Default Shipping Address","Use as My Default Shipping Address"
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"View","View"
"View Order","View Order"
"Visitor","Visitor"
"Visitors Only","Visitors Only"
"Website","Website"
"Welcome Email","Welcome Email"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Wishlist - %d item(s)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong user account specified.","Wrong user account specified."
"Wrong email.","Wrong email."
"Wrong transactional account email type","Wrong transactional account email type"
"YYYY","YYYY"
"Year","Year"
"Yes","Yes"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"You are currently not subscribed to our newsletter.","You are currently not subscribed to our newsletter."
"You are currently subscribed to 'General Subscription'.","You are currently subscribed to 'General Subscription'."
"You are currently subscribed to our newsletter.","You are currently subscribed to our newsletter."
"You are now logged out","You are now logged out"
"You have logged out and will be redirected to our homepage in 5 seconds.","You have logged out and will be redirected to our homepage in 5 seconds."
"You have no additional address entries in your address book.","You have no additional address entries in your address book."
"You have no additional entries in your address book.","You have no additional entries in your address book."
"You have no default billing address in your address book.","You have no default billing address in your address book."
"You have no default entries in your address book.","You have no default entries in your address book."
"You have no default shipping address in your address book.","You have no default shipping address in your address book."
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"You have placed no orders yet.","You have placed no orders yet."
"You have placed no products yet.","You have placed no products yet."
"Your account balance is: %s","Your account balance is: %s"
"ZIP","ZIP"
"ZIP/Post Code","ZIP/Post Code"
"Zip/Postal Code","Zip/Postal Code"
"n/a","n/a"
"or","or"
